"날짜","종가","시가","고가","저가","거래량","변동 %"
"2014- 12- 31","1,092.90","1,096.92","1,096.96","1,087.51","","-0.28%"
"2014- 12- 30","1,095.92","1,100.30","1,101.11","1,094.80","","-0.31%"
"2014- 12- 29","1,099.30","1,097.80","1,100.88","1,096.55","","0.04%"
"2014- 12- 26","1,098.90","1,101.85","1,102.93","1,097.30","","-0.18%"
"2014- 12- 25","1,100.85","1,104.35","1,104.61","1,101.58","","-0.23%"
"2014- 12- 24","1,103.35","1,106.57","1,107.44","1,101.37","","-0.20%"
"2014- 12- 23","1,105.57","1,100.12","1,107.64","1,096.88","","0.59%"
"2014- 12- 22","1,099.12","1,100.01","1,100.88","1,093.98","","0.00%"
"2014- 12- 19","1,099.11","1,099.74","1,103.71","1,096.88","","0.03%"
"2014- 12- 18","1,098.74","1,097.83","1,106.12","1,095.52","","0.24%"
"2014- 12- 17","1,096.16","1,081.01","1,099.33","1,080.36","","1.50%"
"2014- 12- 16","1,080.01","1,097.77","1,099.47","1,078.70","","-1.53%"
"2014- 12- 15","1,096.77","1,103.80","1,105.80","1,097.70","","-0.62%"
"2014- 12- 12","1,103.65","1,102.85","1,106.70","1,100.43","","0.16%"
"2014- 12- 11","1,101.85","1,101.62","1,104.11","1,095.50","","0.11%"
"2014- 12- 10","1,100.62","1,104.93","1,108.92","1,099.20","","-0.30%"
"2014- 12- 09","1,103.93","1,112.06","1,115.05","1,101.65","","-0.64%"
"2014- 12- 08","1,111.06","1,122.15","1,122.35","1,110.39","","-0.88%"
"2014- 12- 05","1,120.88","1,112.39","1,122.37","1,110.10","","0.86%"
"2014- 12- 04","1,111.36","1,116.08","1,118.10","1,110.66","","-0.34%"
"2014- 12- 03","1,115.11","1,115.32","1,118.20","1,110.69","","0.07%"
"2014- 12- 02","1,114.32","1,109.90","1,116.38","1,103.70","","0.45%"
"2014- 12- 01","1,109.36","1,113.29","1,120.10","1,105.88","","-0.28%"
"2014- 11- 28","1,112.45","1,100.37","1,113.42","1,099.78","","1.19%"
"2014- 11- 27","1,099.32","1,103.77","1,104.39","1,096.60","","-0.31%"
"2014- 11- 26","1,102.74","1,110.16","1,110.60","1,103.33","","-0.58%"
"2014- 11- 25","1,109.22","1,113.97","1,116.30","1,108.55","","-0.34%"
"2014- 11- 24","1,113.02","1,111.19","1,117.97","1,108.75","","0.21%"
"2014- 11- 21","1,110.65","1,112.13","1,115.95","1,106.70","","-0.02%"
"2014- 11- 20","1,110.91","1,113.80","1,117.83","1,109.55","","-0.19%"
"2014- 11- 19","1,113.08","1,100.98","1,114.30","1,099.30","","1.20%"
"2014- 11- 18","1,099.85","1,101.08","1,102.15","1,095.35","","-0.03%"
"2014- 11- 17","1,100.16","1,100.40","1,104.40","1,092.35","","0.00%"
"2014- 11- 14","1,100.19","1,096.67","1,105.88","1,095.94","","0.41%"
"2014- 11- 13","1,095.68","1,095.55","1,100.20","1,091.73","","0.09%"
"2014- 11- 12","1,094.66","1,094.78","1,102.80","1,091.54","","0.05%"
"2014- 11- 11","1,094.15","1,090.50","1,099.37","1,087.13","","0.41%"
"2014- 11- 10","1,089.71","1,088.72","1,090.50","1,083.58","","0.31%"
"2014- 11- 07","1,086.32","1,091.00","1,095.60","1,085.94","","-0.34%"
"2014- 11- 06","1,090.00","1,088.15","1,094.22","1,083.41","","0.04%"
"2014- 11- 05","1,089.54","1,078.76","1,093.34","1,078.08","","1.16%"
"2014- 11- 04","1,077.09","1,083.18","1,083.55","1,075.83","","-0.51%"
"2014- 11- 03","1,082.60","1,078.62","1,083.81","1,071.80","","0.93%"
"2014- 10- 31","1,072.60","1,054.66","1,074.83","1,052.90","","1.80%"
"2014- 10- 30","1,053.67","1,053.85","1,059.40","1,052.58","","0.05%"
"2014- 10- 29","1,053.19","1,047.95","1,055.12","1,044.28","","0.59%"
"2014- 10- 28","1,047.03","1,051.47","1,052.37","1,047.14","","-0.29%"
"2014- 10- 27","1,050.03","1,056.68","1,057.32","1,050.24","","-0.61%"
"2014- 10- 24","1,056.50","1,060.04","1,062.00","1,055.09","","-0.28%"
"2014- 10- 23","1,059.50","1,053.72","1,060.70","1,052.75","","0.64%"
"2014- 10- 22","1,052.74","1,055.29","1,056.20","1,050.44","","-0.15%"
"2014- 10- 21","1,054.30","1,056.24","1,056.85","1,052.25","","-0.09%"
"2014- 10- 20","1,055.20","1,063.29","1,064.50","1,055.86","","-0.67%"
"2014- 10- 17","1,062.37","1,061.05","1,067.11","1,060.22","","0.17%"
"2014- 10- 16","1,060.52","1,060.82","1,067.76","1,057.15","","0.05%"
"2014- 10- 15","1,059.97","1,065.58","1,069.40","1,057.54","","-0.45%"
"2014- 10- 14","1,064.78","1,066.81","1,068.32","1,061.35","","-0.12%"
"2014- 10- 13","1,066.10","1,074.10","1,074.55","1,065.58","","-0.65%"
"2014- 10- 10","1,073.10","1,063.60","1,075.52","1,063.60","","0.99%"
"2014- 10- 09","1,062.60","1,075.40","1,075.65","1,062.77","","-1.10%"
"2014- 10- 08","1,074.40","1,066.45","1,076.30","1,066.35","","0.47%"
"2014- 10- 07","1,069.40","1,064.40","1,070.75","1,062.70","","0.06%"
"2014- 10- 06","1,068.75","1,074.95","1,074.95","1,067.90","","0.72%"
"2014- 10- 03","1,061.10","1,061.10","1,061.10","1,061.10","","0.00%"
"2014- 10- 02","1,061.10","1,060.95","1,064.05","1,057.35","","-0.15%"
"2014- 10- 01","1,062.70","1,057.55","1,064.80","1,057.45","","0.77%"
"2014- 09- 30","1,054.55","1,056.40","1,057.55","1,051.60","","0.13%"
"2014- 09- 29","1,053.15","1,048.50","1,054.45","1,047.95","","0.87%"
"2014- 09- 26","1,044.10","1,044.10","1,044.85","1,041.05","","0.08%"
"2014- 09- 25","1,043.30","1,040.65","1,044.50","1,040.50","","0.34%"
"2014- 09- 24","1,039.77","1,040.70","1,041.85","1,038.25","","-0.01%"
"2014- 09- 23","1,039.90","1,043.20","1,045.10","1,038.25","","-0.01%"
"2014- 09- 22","1,040.00","1,041.40","1,042.90","1,038.40","","-0.34%"
